GAS_ZONES,gas_storage_predet_build_year,gas_storage_type,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
WA,2010,aquifer,494649,0,24878667
WA,2011,aquifer,0,2569686,22308981
WA,2012,aquifer,3201219,0,25510200
WV,1999,depleted field,384607266.190289,0,384607266.190289
WV,2000,depleted field,0,16786.8990108371,384590479.291278
WV,2001,depleted field,0,123346986.388076,261243492.903202
WV,2002,depleted field,0,1856001.52188581,259387491.381316
WV,2003,depleted field,8587548.02523202,0,267975039.406548
WV,2004,depleted field,690361.221820712,0,268665400.628369
WV,2005,depleted field,122754.19901675,0,268788154.827386
WV,2006,depleted field,545049.627258182,0,269333204.454644
WV,2007,depleted field,12215616.5739495,0,281548821.028594
WV,2008,depleted field,0,13418990.0285935,268129831
WV,2009,depleted field,3093371,0,271223202
WV,2010,depleted field,0,831674,270391528
WV,2011,depleted field,0,4201924,266189604
WV,2012,depleted field,0,50813,266138791
WV,2013,depleted field,1465281,0,267604072
WV,2014,depleted field,4406213,0,272010285
WV,2015,aquifer,68442,0,68442
WV,2015,depleted field,0,3100630,268909655
WV,2016,depleted field,2036668,0,270946323
WV,2017,depleted field,7802388,0,278748711
WV,2022,depleted field,1013149,251991,279509869
WY,1999,aquifer,1292963.4601044,0,1292963.4601044
WY,1999,depleted field,47904162.9744562,0,47904162.9744562
WY,2002,depleted field,4597136.6813222,0,52501299.6557784
WY,2003,depleted field,0,440225.806113571,52061073.8496648
WY,2004,depleted field,0,13491.5967821404,52047582.2528827
WY,2006,depleted field,0,31980.0812613741,52015602.1716213
WY,2007,depleted field,0,14490.9743215591,52001111.1972998
WY,2008,aquifer,0,426031.4601044,866932
WY,2008,depleted field,0,5491661.19729976,46509450
WY,2009,depleted field,0,3677202,42832248
WY,2010,aquifer,0,6222,860710
WY,2011,depleted field,0,881450,41950798
WY,2012,aquifer,6222,0,866932
WY,2012,depleted field,7689355,0,49640153
WY,2013,depleted field,25925000,0,75565153
WY,2022,depleted field,17323085,16709181,76498453
